service,subject,description,urgency
order tracking,No tracking information available,"Hi, I noticed an issue. The tracking page has shown the same status for several days. I have not changed any account settings recently. No rush, but please check when possible.",low
checkout,Delivery option missing at checkout,"I've already retried a few times with no luck. The page spins forever after I click Place order. The problem happens on both desktop and mobile. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
order tracking,Delivery date keeps changing,I've tried this several times and it's getting frustrating. The tracking number is not recognized by the carrier. The problem happens on both desktop and mobile. I need this fixed today because I cannot continue.,high
payments,URGENT: Card charged but order not created,"I'm getting very annoyed with this. I think I got charged wrong I need an actual answer, not a generic response.",medium
checkout,Can't place my order,"I've already retried a few times with no luck. The page spins forever after I click Place order. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can work around it for now. Reference: order/account details can be provided if needed.",low
payments,Payment pending for too long,"Hello, I wanted to report a problem. The card was charged, but I never received an order number or confirmation.",critical
order tracking,Tracking link is broken,where is my order?,high
order tracking,Package stuck in transit,"The tracking number is not recognized by the carrier. I tried both Wi-Fi and mobile data. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can work around it for now.",low
payments,Payment declined but card is valid,"I'm seeing a consistent problem with this. I can see two identical charges for the same purchase. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
payments,Card charged but order not created,"The card was charged, but I never received an order number or confirmation. I reproduced it twice this morning. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
notification,SMS alerts not arriving,"I disabled marketing emails, but I am still receiving them. I already cleared cookies and tried again. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I can work around it for now.",low
order tracking,Wrong tracking number,"This keeps happening and I'm running out of things to try. Your order page and the carrier page show different delivery statuses. This started after the latest app update. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can work around it for now. Reference: order/account details can be provided if needed.",low
order tracking,Package stuck in transit,"Hi, I noticed an issue. Your site says the package was delivered, but nothing was delivered to my address. I also tried from another browser. I need this fixed today because I cannot continue.",high
checkout,Cart resets at checkout,Applying a discount code makes the checkout page reload and lose my details.,critical
order tracking,Tracking link is broken,This keeps happening and I'm running out of things to try. The tracking number is not recognized by the carrier. I need this fixed today because I cannot continue.,high
order tracking,Delivery date keeps changing,"Hi, I noticed an issue. The tracking number is not recognized by the carrier. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
checkout,Cart resets at checkout,There is no delivery method available even though you normally ship to my postcode. I also tried from another browser.,low
search,Search page keeps reloading,A product I can open from my order history does not appear in search. I also tried from another browser. I need someone to investigate this immediately.,critical
order tracking,Wrong tracking number,"The tracking page has shown the same status for several days. This happens in Safari on my iPhone. No rush, but please check when possible.",low
login,URGENT: Login keeps failing,This is really frustrating. I get an 'unexpected error' immediately after pressing Sign in. This started after the latest app update. Can someone sort this out?,medium
checkout,Address rejected during checkout,Just reporting something I ran into. My shipping address is valid but the form keeps saying it cannot be verified.,medium
payments,Wrong amount charged,I'm getting very annoyed with this. The payment has been showing as pending since yesterday. I reproduced it twice this morning. Please fix this.,high
login,Unable to access my account,"Seriously, what is going on? I requested the two-factor code several times and nothing has arrived. This is blocking my purchase and I need help as soon as possible. This has happened more than once.",high
payments,Apple Pay failed,"Hi, could you please help me with this? The payement has been showing as pending since yesterday. Thanks.",low
payments,Wrong amount charged,"My bank shows the payment as approved, but your site says it was declined. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved.",medium
payments,Apple Pay failed,"I can see two identical charges for the same purchase. The problem happens on both desktop and mobile. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need someone to investigate this immediately.",critical
search,Sorting changes my filters,Search takes around 20 seconds before showing results. This happens in Safari on my iPhone. I need this fixed today because I cannot continue.,high
payments,Refund not received,"Could someone please take a look? The refund is marked completed in my account, but the money is not back on my card. This happens in Safari on my iPhone. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed. Thanks.",medium
search,Search is very slow,"This is really frustrating. The results page reloads whenever I scroll down. I reproduced it twice this morning. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is preventing me from using the service. Reference: order/account details can be provided if needed. Please fix this.",high
login,Login issue on mobile,"I've tried this several times and it's getting frustrating. I requested the two-factor code several times and nothing has arrived. This happens in Safari on my iPhone. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
checkout,Address rejected during checkout,can't buy anything,high
payments,Apple Pay failed,"Could someone please take a look? The payment has been showing as pending since yesterday. I also tried from another browser. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible? Reference: order/account details can be provided if needed. Thanks.",medium
checkout,Cart resets at checkout,"I'm a bit confused by what the site is showing me. I can add products to the cart, but the checkout button does not move to the next step. I reproduced it twice this morning. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
payments,Payment page error,card issue,low
order tracking,Tracking hasn't updated,I don't understand what is happening. The tracking link in the email opens a 404 page. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.,high
payments,Payment pending for too long,"Could someone please take a look? The card was charged, but I never received an order number or confirmation. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
payments,Payment declined but card is valid,This keeps happening and I'm running out of things to try. Apple Pay closes after Face ID and returns me to the payment page.,medium
payments,Payment declined but card is valid,The payment has been showing as pending since yesterday.,medium
payments,Charged twice for one order,"My bank shows the payment as approved, but your site says it was declined. It worked normally yesterday. I need someone to investigate this immediately.",critical
login,Password reset not working,"This keeps happening and I'm running out of things to try. The password reset link opens, but after setting a new password I still cannot log in. I also tried from another browser. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,Tracking link is broken,"I don't understand what is happening. The package has been marked 'in transit' in the same location for days. This happens in Safari on my iPhone. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is urgent because money/order access is affected and I need immediate assistance. Reference: order/account details can be provided if needed.",critical
notification,Getting duplicate notifications,"Hello, I wanted to report a problem. SMS notifications stopped arriving even though my phone number is correct. This happens in Safari on my iPhone. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
login,Login keeps failing,"Maybe I'm missing something, but this doesn't make sense. Login works in the browser but not in the mobile app. I'm using Chrome on Windows 11. I can wait a little, but I do need this resolved.",medium
checkout,Stuck on checkout page,Applying a discount code makes the checkout page reload and lose my details.,high
order tracking,Wrong tracking number,This keeps happening and I'm running out of things to try. The tracking number is not recognized by the carrier. I have not changed any account settings recently.,medium
payments,Wrong amount charged,"The refund is marked completed in my account, but the money is not back on my card. This is preventing me from using the service.",high
notification,Push notifications stopped,Push notifications used to work and stopped without me changing any settings. I tried both Wi-Fi and mobile data.,critical
checkout,Address rejected during checkout,I've tried this several times and it's getting frustrating. There is no delivery method available even though you normally ship to my postcode. This started after the latest app update.,high
login,Login keeps failing,"Hi, I noticed an issue. I get an 'unexpected error' immediately after pressing Sign in. This started after the latest app update. I can wait a little, but I do need this resolved.",medium
checkout,Checkout button does nothing,I'm seeing a consistent problem with this. The page spins forever after I click Place order. I already cleared cookies and tried again.,high
notification,Notifications,emails not working,medium
order tracking,No tracking information available,"Just reporting something I ran into. The tracking link in the email opens a 404 page. I tried both Wi-Fi and mobile data. I can wait a little, but I do need this resolved.",medium
search,Sorting changes my filters,This should not be this difficult. The results page reloads whenever I scroll down. It worked normally yesterday. Can someone sort this out?,high
login,Account locked after login attempt,I get an 'unexpected error' immediately after pressing Sign in. This is preventing me from using the service.,high
login,Account locked after login attempt,sign in doesn't work,low
login,Unable to access my account,I've already retried a few times with no luck. I get an 'unexpected error' immediately after pressing Sign in. It worked normally yesterday. I can work around it for now.,low
payments,Charged twice for one order,"I've tried this several times and it's getting frustrating. Apple Pay closes after Face ID and returns me to the payment page. I'm using Chrome on Windows 11. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
login,Login keeps failing,I requested the two-factor code several times and nothing has arrived. I also tried from another browser. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
order tracking,No tracking information available,The tracking page has shown the same status for several days.,medium
notification,Push notifications stopped,I've already retried a few times with no luck. SMS notifications stopped arriving even though my phone number is correct.,medium
order tracking,Where is my order?,no update on delivery,medium
payments,Apple Pay failed,"Just reporting something I ran into. The refund is marked completed in my account, but the money is not back on my card. I already cleared cookies and tried again. I can wait a little, but I do need this resolved.",medium
payments,Refund not received,"I can see two identical charges for the same purchase. No rush, but please check when possible.",low
login,Account locked after login attempt,The account says it is locked even though I only tried to sign in once today. This is preventing me from using the service.,high
notification,Can't turn off marketing emails,I'm not sure if I'm doing something wrong. SMS notifications stopped arriving even though my phone number is correct. I tried both Wi-Fi and mobile data. This is preventing me from using the service.,high
order tracking,Delivery date keeps changing,"I've tried this several times and it's getting frustrating. Your site says the package was delivered, but nothing was delivered to my address. I already cleared cookies and tried again.",high
payments,Payment pending for too long,"My bank shows the payment as approved, but your site says it was declined. This happens in Safari on my iPhone.",high
search,Product missing from search,I've already wasted too much time on this. The results page reloads whenever I scroll down. It worked normally yesterday. This has happened more than once.,medium
payments,Apple Pay failed,I can see two identical charges for the same purchase. I tried both Wi-Fi and mobile data. This is blocking my purchase and I need help as soon as possible.,high
login,Account locked after login attempt,"I've already retried a few times with no luck. The account says it is locked even though I only tried to sign in once today. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue.",high
notification,Can't turn off marketing emails,"Hi, I noticed an issue. SMS notifications stopped arriving even though my phone number is correct. This happens in Safari on my iPhone.",low
payments,Card problem,payment problem,medium
notification,Notifications,emails not working,medium
order tracking,Tracking hasn't updated,"I've already retried a few times with no luck. Your site says the package was delivered, but nothing was delivered to my address. I reproduced it twice this morning. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
payments,Apple Pay failed,Apple Pay closes after Face ID and returns me to the payment page. I also tried from another browser.,high
login,2FA code never arrives,I'm getting very annoyed with this. Login works in the browser but not in the mobile app. The problem happens on both desktop and mobile. Please treat this as urgent; I am completely blocked. This has happened more than once.,critical
notification,Order confirmation email missing,"I've tried this several times and it's getting frustrating. The email says my oder was cancelled, but the order page says it has shipped.",low
order tracking,No tracking information available,"Hi, could you please help me with this? Your order page and the carrier page show different delivery statuses. I can work around it for now. Thanks.",low
payments,Card charged but order not created,This keeps happening and I'm running out of things to try. Apple Pay closes after Face ID and returns me to the payment page.,medium
payments,Wrong amount charged,"I've already retried a few times with no luck. The refund is marked completed in my account, but the money is not back on my card.",medium
payments,Charged twice for one order,I've already retried a few times with no luck. I can see two identical charges for the same purchase. I already cleared cookies and tried again. Could someone look into this today if possible?,medium
payments,Wrong amount charged,"I'm not sure if I'm doing something wrong. The refund is marked completed in my account, but the money is not back on my card. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved.",medium
search,Can't find an item I bought before,Searching for an exact product name returns unrelated items.,medium
checkout,Address rejected during checkout,This is really frustrating. There is no delivery method available even though you normally ship to my postcode. I tried both Wi-Fi and mobile data. This has happened more than once.,high
search,Search issue,can't find anything,high
search,Can't find product,search is bad,medium
payments,Refund not received,"The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Could someone look into this today if possible?",medium
notification,Too many notifications,Just reporting something I ran into. I receive the same shipping notification three or four times. I already cleared cookies and tried again.,medium
login,Password reset not working,"Hi, I noticed an issue. Login works in the browser but not in the mobile app. This happens in Safari on my iPhone. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
login,Unable to access my account,"Hi, I noticed an issue. I get an 'unexpected error' immediately after pressing Sign in. This happens in Safari on my iPhone. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
login,Signed out every time I refresh,"The password reset link opens, but after setting a new password I still cannot log in. I also tried from another browser. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need this fixed today because I cannot continue.",high
order tracking,Package stuck in transit,"The tracking link in the email opens a 404 page. I also tried from another browser. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
order tracking,Package stuck in transit,This keeps happening and I'm running out of things to try. The tracking number is not recognized by the carrier.,critical
payments,Payment declined but card is valid,I can see two identical charges for the same purchase. I reproduced it twice this morning.,high
checkout,Can't place my order,"The cart becomes empty as soon as I reach the payment step. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
order tracking,Tracking issue,where is my order?,high
payments,Card charged but order not created,"The card was charged, but I never received an order number or confirmation. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is urgent because money/order access is affected and I need immediate assistance. Reference: order/account details can be provided if needed.",critical
order tracking,Order says delivered but isn't here,"Hello, I wanted to report a problem. Your site says the package was delivered, but nothing was delivered to my address. It worked normally yesterday. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible?",medium
search,Filters not working,Search takes around 20 seconds before showing results. I have not changed any account settings recently.,critical
login,2FA code never arrives,I get an 'unexpected error' immediately after pressing Sign in. The problem happens on both desktop and mobile.,high
search,Search results are irrelevant,"Hi, could you please help me with this? Searching for an exact product name returns unrelated items. Could someone look into this today if possible? Thanks.",medium
login,Can't log in,why am I locked out?,medium
notification,Getting duplicate notifications,"This should not be this difficult. Push notifications used to work and stopped without me changing any settings. I'm using Chrome on Windows 11. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed. Can someone sort this out?",medium
notification,SMS alerts not arriving,"Hi, I noticed an issue. The order appears in my account, but I never received the confirmation email. I also tried from another browser.",medium
payments,Charged twice for one order,"The card was charged, but I never received an order number or confirmation. I reproduced it twice this morning. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need this fixed today because I cannot continue.",high
payments,Charged twice for one order,"Hi, could you please help me with this? The refund is marked completed in my account, but the money is not back on my card. I'm using Chrome on Windows 11. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed. Thanks.",high
checkout,Cart resets at checkout,I've tried this several times and it's getting frustrating. My shipping address is valid but the form keeps saying it cannot be verified. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
checkout,Promo code breaks checkout,I'm not sure if I'm doing something wrong. The cart becomes empty as soon as I reach the payment step. This happens in Safari on my iPhone. This is blocking my purchase and I need help as soon as possible.,high
login,Signed out every time I refresh,"I've already retried a few times with no luck. The password reset link opens, but after setting a new password I still cannot log in. I already cleared cookies and tried again. I can wait a little, but I do need this resolved.",medium
order tracking,Delivery date keeps changing,"I don't understand what is happening. The tracking number is not recognized by the carrier. I reproduced it twice this morning. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can wait a little, but I do need this resolved.",medium
order tracking,Order status doesn't match carrier,The tracking link in the email opens a 404 page. This happens in Safari on my iPhone.,high
login,Login issue on mobile,"Hi, could you please help me with this? The password reset link opens, but after setting a new password I still cannot log in. I tried both Wi-Fi and mobile data. Thanks.",high
notification,Can't turn off marketing emails,"Hi, I noticed an issue. SMS notifications stopped arriving even though my phone number is correct. The problem happens on both desktop and mobile. This is urgent because money/order access is affected and I need immediate assistance.",critical
search,Filters not working,can't find anything,low
notification,Push notifications stopped,I'm seeing a consistent problem with this. Push notifications used to work and stopped without me changing any settings. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.,high
notification,Too many notifications,"Seriously, what is going on? The email says my order was cancelled, but the order page says it has shipped. The problem happens on both desktop and mobile. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. Could someone look into this today if possible? This has happened more than once.",medium
search,Search issue,I've already retried a few times with no luck. can't find anything,low
order tracking,Wrong tracking number,"I'm getting very annoyed with this. Your order page and the carrier page show different delivery statuses. I reproduced it twice this morning. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible? This has happened more than once.",medium
checkout,Stuck on checkout page,The cart becomes empty as soon as I reach the payment step. I also tried from another browser. I need someone to investigate this immediately.,critical
notification,Can't turn off marketing emails,I've tried this several times and it's getting frustrating. SMS notifications stopped arriving even though my phone number is correct. I tried both Wi-Fi and mobile data.,low
search,Filters not working,A product I can open from my order history does not appear in search. I have not changed any account settings recently. Could someone look into this today if possible?,medium
notification,Still broken: Getting duplicate notifications,"I'm getting very annoyed with this. The email says my order was cancelled, but the order page says it has shipped. This started after the latest app update. Can someone sort this out?",high
login,Signed out every time I refresh,"Hi team, I'm having an issue and would appreciate some help. The account says it is locked even though I only tried to sign in once today. I tried both Wi-Fi and mobile data. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. This is blocking my purchase and I need help as soon as possible. Thanks.",high
payments,Card charged but order not created,"The card was charged, but I never received an order number or confirmation. It worked normally yesterday.",medium
payments,Wrong amount charged,I think I got charged wrong,medium
order tracking,No tracking information available,"Hi team, I'm having an issue and would appreciate some help. Your order page and the carrier page show different delivery statuses. This started after the latest app update. Thanks.",high
payments,Payment pending for too long,"This keeps happening and I'm running out of things to try. I can see two identical charges for the same purchase. I have not changed any account settings recently. I can wait a little, but I do need this resolved.",medium
login,Login keeps failing,"I enter the correct email and password but the page sends me back to the sign-in screen. This started after the latest app update. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
notification,SMS alerts not arriving,Just reporting something I ran into. I receive the same shipping notification three or four times.,high
search,Can't find an item I bought before,Searching for an exact product name returns unrelated items. I have not changed any account settings recently.,medium
login,Password reset not working,"I enter the correct email and password but the page sends me back to the sign-in screen. I have not changed any account settings recently. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Payment pending for too long,"This keeps happening and I'm running out of things to try. Apple Pay closes after Face ID and returns me to the payment page. I already cleared cookies and tried again. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need this fixed today because I cannot continue.",high
order tracking,Order says delivered but isn't here,"The tracking link in the email opens a 404 page. The problem happens on both desktop and mobile. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
login,Unable to access my account,The account says it is locked even though I only tried to sign in once today. I tried both Wi-Fi and mobile data. I can work around it for now.,low
notification,Can't turn off marketing emails,"This keeps happening and I'm running out of things to try. I disabled marketing emails, but I am still receiving them. This happens in Safari on my iPhone. I need someone to investigate this immediately.",critical
payments,Payment pending for too long,"Hi team, I'm having an issue and would appreciate some help. I can see two identical charges for the same purchase. I reproduced it twice this morning. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can work around it for now. Reference: order/account details can be provided if needed. Thanks.",low
payments,Wrong amount charged,"Hi team, I'm having an issue and would appreciate some help. The card was charged, but I never received an order number or confirmation. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Thanks.",medium
order tracking,No tracking information available,"Your site says the package was delivered, but nothing was delivered to my address. I also tried from another browser. Please treat this as urgent; I am completely blocked.",critical
payments,Card charged but order not created,"I don't understand what is happening. The card was charged, but I never received an order number or confirmation. I tried both Wi-Fi and mobile data.",medium
notification,Wrong notification sent,"The email says my order was cancelled, but the order page says it has shipped. I also tried from another browser.",high
notification,Order confirmation email missing,I'm seeing a consistent problem with this. SMS notifications stopped arriving even though my phone number is correct. This is preventing me from using the service.,high
order tracking,Tracking hasn't updated,"I've already retried a few times with no luck. The tracking link in the email opens a 404 page. This started after the latest app update. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
checkout,Promo code breaks checkout,"I've already wasted too much time on this. The page spins forever after I click Place order. I have not changed any account settings recently. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. It's inconvenient and I haven't been able to finish what I was trying to do. Can someone sort this out?",medium
login,Signed out every time I refresh,"Hi, could you please help me with this? I requested the two-factor code several times and nothing has arrived. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
login,Login issue,can't get into my account,low
order tracking,Where is my order?,package???,low
login,Can't sign in,"I've already retried a few times with no luck. I get an 'unexpected error' immediately after pressing Sign in. This happens in Safari on my iPhone. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
payments,Wrong amount charged,"Hello, I wanted to report a problem. My bank shows the payment as approved, but your site says it was declined. I have not changed any account settings recently. Could someone look into this today if possible?",medium
login,Can't sign in,"Just reporting something I ran into. I requested the two-factor code several times and nothing has arrived. I reproduced it twice this morning. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
payments,Wrong amount charged,"The refund is marked completed in my account, but the money is not back on my card. Could someone look into this today if possible?",medium
payments,Payment issue,card issue,medium
order tracking,Still broken: No tracking information available,I've already wasted too much time on this. where is my order? Please fix this.,medium
notification,Wrong notification sent,"I'm not sure if I'm doing something wrong. SMS notifications stopped arriving even though my phone number is correct. This happens in Safari on my iPhone. It's not blocking me right now, but I wanted to report it.",low
order tracking,Wrong tracking number,I've already retried a few times with no luck. The tracking page has shown the same status for several days. This started after the latest app update. This is blocking my purchase and I need help as soon as possible.,high
order tracking,No tracking information available,"Hi, could you please help me with this? The package has been marked 'in transit' in the same location for days. I also tried from another browser. I can work around it for now. Thanks.",low
payments,Card charged but order not created,"The payment has been showing as pending since yesterday. This started after the latest app update. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible?",medium
checkout,Checkout won't complete,"The page spins forever after I click Place order. The problem happens on both desktop and mobile. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. No rush, but please check when possible.",low
order tracking,Package stuck in transit,"I've already retried a few times with no luck. Your order page and the carrier page show different delivery statuses. I reproduced it twice this morning. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I need someone to investigate this immediately.",critical
payments,Payment page error,"Hi, I noticed an issue. The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. No rush, but please check when possible.",low
search,Product missing from search,A product I can open from my order history does not appear in search. I already cleared cookies and tried again.,medium
checkout,Stuck on checkout page,"Hello, I wanted to report a problem. I can add products to the cart, but the checkout button does not move to the next step. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
notification,Email issue,too many alerts,critical
login,Can't log in,can't get into my account,low
search,Search issue,search is bad,critical
checkout,Again: Checkout won't complete,"This should not be this difficult. My shipping address is valid but the form keeps saying it cannot be verified. I tried both Wi-Fi and mobile data. It's not blocking me right now, but I wanted to report it. Can someone sort this out?",low
login,Can't sign in,"Just reporting something I ran into. Login works in the browser but not in the mobile app. I can wait a little, but I do need this resolved.",medium
login,Unable to access my account,I'm seeing a consistent problem with this. Login works in the browser but not in the mobile app. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
search,Can't find an item I bought before,"Just reporting something I ran into. A product I can open from my order history does not appear in search. I tried both Wi-Fi and mobile data. I can wait a little, but I do need this resolved.",medium
login,Can't sign in,I enter the correct email and password but the page sends me back to the sign-in screen. I tried both Wi-Fi and mobile data. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
payments,Payment declined but card is valid,I can see two identical charges for the same purchase. I also tried from another browser.,low
login,Unable to access my account,"The password reset link opens, but after setting a new password I still cannot log in. I'm using Chrome on Windows 11. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
search,Still broken: Search returns no results,"I'm getting very annoyed with this. Search takes around 20 seconds before showing results. This started after the latest app update. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is urgent because money/order access is affected and I need immediate assistance. Please fix this.",critical
checkout,Address rejected during checkout,"Seriously, what is going on? There is no delivery method available even though you normally ship to my postcode. I tried both Wi-Fi and mobile data. Please fix this.",low
checkout,Can't place my order,"Hello, I hope you can help. There is no delivery method available even though you normally ship to my postcode. It worked normally yesterday. This is blocking my purchase and I need help as soon as possible. Thanks.",high
search,Can't find an item I bought before,i've already retried a few times with no luck. searching for an exact product name returns unrelated items. this is preventing me from using the service.,high
order tracking,Order says delivered but isn't here,"Hello, I wanted to report a problem. The tracking number is not recognized by the carrier.",medium
order tracking,Tracking hasn't updated,"This is really frustrating. The tracking number is not recognized by the carrier. This happens in Safari on my iPhone. I need someone to investigate this immediately. I need an actual answer, not a generic response.",critical
login,Account locked after login attempt,sign in doesnt work,critical
login,URGENT: Login keeps failing,"This is really frustrating. The account says it is locked even though I only tried to sign in once today. This started after the latest app update. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed. Can someone sort this out?",low
order tracking,Order status doesn't match carrier,The tracking link in the email opens a 404 page. I already cleared cookies and tried again.,high
order tracking,Wrong tracking number,"Hi, could you please help me with this? The package has been marked 'in transit' in the same location for days. It worked normally yesterday. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
order tracking,Package stuck in transit,Could someone please take a look? The tracking link in the email opens a 404 page. The problem happens on both desktop and mobile. Could someone look into this today if possible? Thanks.,medium
login,2FA code always fails,"I receive a code but it fails every time, and I've already requested multiple codes.",high
login,Verification code keeps expiring,"The code expires before it can be entered, even after multiple codes were requested.",high
login,Two-factor code never works,Multiple codes were requested but the code always fails or expires before it can be entered.,high
checkout,Checkout button not responding,"The checkout button appears clickable but nothing happens, I cannot reach payment.",high
checkout,Checkout stuck loading,The checkout loading spinner never finishes and I cannot reach payment.,high
checkout,Can't get past checkout button,"Checkout button appears clickable but nothing happens, the loading spinner never finishes and I cannot reach payment.",high
payments,Card declined for no reason,My payment is declined even though the card works elsewhere and my bank app shows no completed charge.,high
payments,Payment keeps failing,"Payment keeps getting declined, but the card works fine elsewhere and there is no completed charge in my bank app.",high
